epoch,bde_loss,bdfe_loss,loss,val_bde_loss,val_bdfe_loss,val_loss
0,8.297233581542969,7.633080005645752,15.930305480957031,9.989034652709961,8.98888874053955,18.977922439575195
1,3.046565055847168,2.807335376739502,5.853903770446777,2.3481366634368896,2.4314663410186768,4.779603481292725
2,2.321908950805664,2.158673048019409,4.4805827140808105,2.2681238651275635,1.9566166400909424,4.224740505218506
3,2.2114765644073486,2.0683324337005615,4.27980899810791,2.0497336387634277,2.1371471881866455,4.186881065368652
4,1.679452896118164,1.5830096006393433,3.262462615966797,3.2069263458251953,3.2651867866516113,6.472112655639648
5,1.7538793087005615,1.646265983581543,3.4001450538635254,2.42277193069458,2.236816167831421,4.659587860107422
6,1.6088013648986816,1.5122416019439697,3.121044158935547,2.6999573707580566,2.7005562782287598,5.400514125823975
7,1.7244218587875366,1.6197606325149536,3.3441812992095947,1.6253693103790283,1.4277561902999878,3.0531256198883057
8,1.3373606204986572,1.2741457223892212,2.6115047931671143,1.7826495170593262,1.4178228378295898,3.200472354888916
9,1.3466044664382935,1.2765659093856812,2.6231706142425537,3.4638798236846924,3.430326223373413,6.8942060470581055
10,1.5981180667877197,1.505756139755249,3.1038732528686523,2.349665641784668,2.2065842151641846,4.556249618530273
11,1.5324852466583252,1.4411739110946655,2.9736580848693848,1.6659907102584839,1.4655072689056396,3.131498098373413
12,1.394416332244873,1.3166236877441406,2.7110393047332764,1.3551079034805298,1.2539149522781372,2.609022855758667
13,1.236937403678894,1.1765729188919067,2.413510322570801,1.3804912567138672,1.2860186100006104,2.6665098667144775
14,1.2622991800308228,1.1964216232299805,2.4587204456329346,1.58610200881958,1.5142301321029663,3.1003317832946777
15,1.1626070737838745,1.108142375946045,2.270749807357788,1.552182912826538,1.416866421699524,2.9690492153167725
16,1.350688099861145,1.2747725248336792,2.6254634857177734,2.693218231201172,2.5764055252075195,5.269623756408691
17,1.2774248123168945,1.208369255065918,2.4857945442199707,1.6884716749191284,1.6040438413619995,3.292515277862549
18,1.1251864433288574,1.0699840784072876,2.1951711177825928,1.2451938390731812,1.3377723693847656,2.5829663276672363
19,1.1748406887054443,1.1184366941452026,2.2932770252227783,1.1580365896224976,1.1347601413726807,2.2927968502044678
20,1.1007297039031982,1.0475397109985352,2.1482691764831543,1.2610712051391602,1.2547036409378052,2.515774726867676
21,1.0571683645248413,1.0099631547927856,2.0671305656433105,1.2043317556381226,1.068724513053894,2.2730565071105957
22,1.2355351448059082,1.166139006614685,2.401674270629883,1.092989206314087,1.0716434717178345,2.164632797241211
23,1.2705349922180176,1.1963807344436646,2.466917037963867,1.0794787406921387,1.054530382156372,2.13400936126709
24,1.1080979108810425,1.0509787797927856,2.15907621383667,1.1905348300933838,1.1836676597595215,2.3742027282714844
25,1.1285125017166138,1.0688581466674805,2.1973700523376465,1.0972728729248047,1.0255452394485474,2.1228177547454834
26,0.9953187108039856,0.9476773738861084,1.9429951906204224,1.106589674949646,1.1400688886642456,2.2466585636138916
27,0.9795032739639282,0.9342867732048035,1.9137897491455078,1.1910090446472168,1.1025114059448242,2.293520450592041
28,0.9924848675727844,0.947005569934845,1.939489722251892,1.1155297756195068,1.06992769241333,2.185457706451416
29,1.0089763402938843,0.9648613929748535,1.9738376140594482,2.4715476036071777,2.16137433052063,4.632922172546387
30,1.0467405319213867,0.9946918487548828,2.0414321422576904,1.3761167526245117,1.38816237449646,2.7642791271209717
31,0.9579983353614807,0.9155712723731995,1.8735698461532593,1.1161096096038818,1.0965192317962646,2.2126290798187256
32,0.997119665145874,0.9497363567352295,1.9468557834625244,1.1069974899291992,1.0495872497558594,2.1565847396850586
33,0.9202670454978943,0.8802024722099304,1.8004693984985352,1.6521925926208496,1.4871623516082764,3.139354944229126
34,1.004554033279419,0.9561320543289185,1.9606856107711792,1.2111237049102783,1.1132006645202637,2.324324131011963
35,0.8998228311538696,0.8596693873405457,1.7594919204711914,1.0220987796783447,1.01788330078125,2.0399820804595947
36,1.032088041305542,0.9834989905357361,2.015584945678711,1.3153079748153687,1.1953372955322266,2.5106453895568848
37,0.9448142051696777,0.9026790261268616,1.8474935293197632,1.5441948175430298,1.4576716423034668,3.0018668174743652
38,0.906501829624176,0.8668556809425354,1.7733577489852905,1.207751989364624,1.3287749290466309,2.536526918411255
39,0.9426622986793518,0.8973425030708313,1.8400046825408936,1.653432846069336,1.3738681077957153,3.02730131149292
40,1.0227181911468506,0.9693461060523987,1.9920647144317627,1.5729055404663086,1.5046260356903076,3.077531576156616
